order_id,date,channel,category,country,device,items,revenue,cogs,new_customer
ORD-000118,2026-03-25,Direct,Apparel,UK,Mobile,3,215.34,85.31,0
ORD-000119,2026-03-25,Google Ads,Home & Living,Germany,Desktop,4,352.96,190.39,0
ORD-000120,2026-03-25,Google Ads,Home & Living,US,Desktop,5,459.92,251.15,1
ORD-000121,2026-03-25,Google Ads,Accessories,US,Desktop,5,158.3,69.95,1
ORD-000122,2026-03-25,Google Ads,Apparel,Germany,Mobile,4,246.59,110.94,1
ORD-000123,2026-03-25,Meta Ads,Accessories,US,Mobile,1,36.1,15.57,0
ORD-000124,2026-03-25,Organic Search,Home & Living,Germany,Desktop,1,96.35,56.56,1
ORD-000125,2026-03-25,Meta Ads,Apparel,Australia,Mobile,1,50.26,25.11,1
ORD-000126,2026-03-25,Google Ads,Beauty,US,Tablet,2,63.24,23.93,1
ORD-000127,2026-03-25,Google Ads,Accessories,Germany,Mobile,1,30.12,12.09,0
ORD-000128,2026-03-25,Meta Ads,Apparel,US,Desktop,3,174.66,76.45,0
ORD-000129,2026-03-25,Google Ads,Accessories,Turkey,Desktop,2,43.79,18.87,0
ORD-000130,2026-03-25,Email,Electronics,US,Mobile,2,483.13,338.26,0
ORD-000131,2026-03-25,Google Ads,Home & Living,Germany,Mobile,1,111.45,60.62,0
ORD-000132,2026-03-26,Meta Ads,Beauty,Australia,Mobile,2,67.93,25.77,1
ORD-000133,2026-03-26,Direct,Apparel,US,Mobile,3,220.87,96.98,1
ORD-000134,2026-03-26,Direct,Beauty,US,Desktop,1,47.11,20.97,0
ORD-000135,2026-03-26,Meta Ads,Apparel,Canada,Mobile,5,317.36,142.24,0
ORD-000136,2026-03-26,Organic Search,Electronics,US,Mobile,2,378.05,264.9,1
ORD-000137,2026-03-26,Organic Search,Home & Living,Canada,Mobile,2,208.79,113.77,1
ORD-000138,2026-03-26,Organic Search,Home & Living,UK,Desktop,5,419.15,257.31,0
ORD-000139,2026-03-26,Meta Ads,Beauty,Canada,Desktop,1,44.25,18.91,0
ORD-000140,2026-03-26,Google Ads,Home & Living,UK,Mobile,1,73.07,42.3,0
ORD-000141,2026-03-26,Direct,Accessories,US,Desktop,2,43.98,17.66,0
ORD-000142,2026-03-26,Direct,Accessories,US,Mobile,1,30.59,15.12,0
ORD-000143,2026-03-26,Direct,Home & Living,US,Mobile,1,112.36,71.16,0
ORD-000144,2026-03-26,Direct,Apparel,Canada,Tablet,1,44.48,18.94,0
ORD-000145,2026-03-26,Email,Beauty,US,Mobile,1,40.87,14.84,0
ORD-000146,2026-03-26,Email,Accessories,US,Mobile,3,92.56,37.83,0
ORD-000147,2026-03-26,Email,Electronics,US,Desktop,2,594.7,429.86,0
ORD-000148,2026-03-26,Organic Search,Home & Living,US,Mobile,1,89.64,53.5,1
ORD-000149,2026-03-26,Meta Ads,Electronics,Australia,Desktop,1,285.65,197.44,1
ORD-000150,2026-03-26,Google Ads,Apparel,US,Mobile,1,53.79,23.01,1
ORD-000151,2026-03-26,Organic Search,Beauty,Turkey,Mobile,2,62.63,22.15,0
ORD-000152,2026-03-26,Meta Ads,Electronics,US,Mobile,4,1033.89,666.05,1
ORD-000153,2026-03-26,Google Ads,Beauty,Germany,Mobile,4,171.11,51.11,0
ORD-000154,2026-03-26,Organic Search,Beauty,UK,Mobile,1,32.92,12.09,1
ORD-000155,2026-03-26,Meta Ads,Beauty,US,Mobile,1,34.56,14.2,0
ORD-000156,2026-03-26,Google Ads,Electronics,Turkey,Desktop,1,254.54,183.77,1
ORD-000157,2026-03-26,Email,Electronics,Turkey,Mobile,2,470.66,333.03,0
ORD-000158,2026-03-26,Direct,Beauty,Turkey,Mobile,2,60.23,22.25,0
ORD-000159,2026-03-26,Google Ads,Beauty,US,Mobile,2,82.65,32.34,0
ORD-000160,2026-03-26,Google Ads,Home & Living,US,Mobile,2,167.18,93.22,1
ORD-000161,2026-03-26,Meta Ads,Accessories,Germany,Mobile,1,37.74,17.81,1
ORD-000162,2026-03-26,Email,Apparel,US,Desktop,1,51.37,22.54,0
ORD-000163,2026-03-26,Direct,Accessories,Canada,Mobile,1,40.65,15.55,0
ORD-000164,2026-03-26,Google Ads,Apparel,Germany,Desktop,1,41.87,17.8,0
ORD-000165,2026-03-26,Email,Apparel,Germany,Tablet,1,41.2,18.57,0
ORD-000166,2026-03-26,Google Ads,Home & Living,Australia,Mobile,2,198.95,108.36,0
ORD-000167,2026-03-26,Meta Ads,Apparel,Canada,Mobile,1,71.71,29.63,0
ORD-000168,2026-03-26,Direct,Apparel,US,Mobile,1,51.95,23.63,0
ORD-000169,2026-03-26,Google Ads,Apparel,US,Desktop,2,111.88,46.15,1
ORD-000170,2026-03-26,Google Ads,Electronics,Germany,Mobile,3,764.94,556.47,0
ORD-000171,2026-03-26,Meta Ads,Beauty,UK,Desktop,1,49.58,19.65,1
ORD-000172,2026-03-26,Organic Search,Apparel,US,Desktop,3,117.82,46.44,1
ORD-000173,2026-03-26,Direct,Home & Living,UK,Desktop,4,348.37,185.59,0
ORD-000174,2026-03-26,Direct,Beauty,Canada,Mobile,2,94.03,36.65,1
ORD-000175,2026-03-26,Google Ads,Apparel,Australia,Tablet,2,100.68,47.06,0
ORD-000176,2026-03-26,Google Ads,Apparel,Germany,Mobile,1,57.59,24.79,0
ORD-000177,2026-03-26,Email,Accessories,US,Mobile,4,140.39,60.73,0
ORD-000178,2026-03-26,Meta Ads,Beauty,US,Mobile,1,28.66,9.81,1
ORD-000179,2026-03-26,Direct,Home & Living,UK,Tablet,4,308.81,149.19,0
ORD-000180,2026-03-27,Email,Apparel,Turkey,Mobile,1,48.5,21.95,0
ORD-000181,2026-03-27,Organic Search,Apparel,Germany,Desktop,2,112.71,49.2,0
ORD-000182,2026-03-27,Google Ads,Home & Living,Turkey,Desktop,3,201.89,105.05,0
ORD-000183,2026-03-27,Meta Ads,Beauty,Turkey,Mobile,1,33.34,12.95,1
ORD-000184,2026-03-27,Organic Search,Accessories,Australia,Desktop,4,106.43,46.42,0
ORD-000185,2026-03-27,Organic Search,Apparel,UK,Mobile,3,147.06,63.35,0
ORD-000186,2026-03-27,Meta Ads,Apparel,US,Mobile,3,172.53,78.37,0
ORD-000187,2026-03-27,Google Ads,Accessories,US,Mobile,1,29.06,13.58,0
ORD-000188,2026-03-27,Email,Apparel,UK,Tablet,1,49.98,24.36,0
ORD-000189,2026-03-27,Google Ads,Apparel,UK,Mobile,3,151.73,57.47,1
ORD-000190,2026-03-27,Direct,Apparel,UK,Mobile,1,57.05,27.6,0
ORD-000191,2026-03-27,Google Ads,Home & Living,Germany,Mobile,2,184.64,114.43,0
ORD-000192,2026-03-27,Google Ads,Accessories,Germany,Desktop,3,135.22,58.63,0
ORD-000193,2026-03-27,Organic Search,Beauty,Australia,Mobile,1,45.7,17.59,0
ORD-000194,2026-03-27,Organic Search,Beauty,US,Mobile,3,75.68,27.3,1
ORD-000195,2026-03-27,Organic Search,Apparel,US,Desktop,4,183.34,81.81,0
ORD-000196,2026-03-27,Meta Ads,Electronics,Australia,Mobile,2,436.45,297.58,1
ORD-000197,2026-03-27,Direct,Home & Living,Australia,Mobile,1,108.67,64.33,1
ORD-000198,2026-03-27,Organic Search,Apparel,Turkey,Mobile,3,233.24,97.07,1
ORD-000199,2026-03-27,Meta Ads,Apparel,Turkey,Mobile,2,92.87,43.27,0
ORD-000200,2026-03-27,Meta Ads,Electronics,Turkey,Mobile,3,724.88,509.39,0
ORD-000201,2026-03-27,Google Ads,Apparel,US,Desktop,3,158.75,78.3,1
ORD-000202,2026-03-27,Organic Search,Home & Living,UK,Desktop,3,318.32,188.14,1
ORD-000203,2026-03-27,Google Ads,Beauty,US,Desktop,1,32.79,12.35,1
ORD-000204,2026-03-27,Organic Search,Apparel,Germany,Tablet,1,71.76,31.2,1
ORD-000205,2026-03-27,Google Ads,Home & Living,Turkey,Mobile,1,101.56,58.22,1
ORD-000206,2026-03-27,Direct,Beauty,US,Mobile,2,80.42,31.75,1
ORD-000207,2026-03-27,Meta Ads,Beauty,Germany,Tablet,2,66.11,26.35,1
ORD-000208,2026-03-27,Direct,Beauty,US,Mobile,2,68.64,23.82,0
ORD-000209,2026-03-27,Meta Ads,Electronics,US,Desktop,1,326.5,206.34,0
ORD-000210,2026-03-27,Google Ads,Beauty,US,Desktop,3,115.45,47.94,0
ORD-000211,2026-03-27,Direct,Apparel,US,Mobile,4,196.41,94.61,0
ORD-000212,2026-03-27,Organic Search,Electronics,Turkey,Mobile,1,233.85,172.23,1
ORD-000213,2026-03-27,Email,Apparel,UK,Mobile,2,93.25,34.1,0
ORD-000214,2026-03-27,Meta Ads,Home & Living,Australia,Mobile,2,170.2,95.91,0
ORD-000215,2026-03-27,Organic Search,Electronics,Canada,Mobile,2,380.17,246.66,0
ORD-000216,2026-03-27,Direct,Apparel,US,Mobile,1,58.02,28.45,0
ORD-000217,2026-03-27,Organic Search,Beauty,US,Desktop,3,93.16,31.31,1
ORD-000218,2026-03-27,Meta Ads,Electronics,Australia,Desktop,5,1220.79,943.78,0
ORD-000219,2026-03-27,Organic Search,Apparel,US,Desktop,2,124.5,51.49,0
ORD-000220,2026-03-27,Organic Search,Apparel,Turkey,Mobile,4,165.18,72.84,1
ORD-000221,2026-03-27,Direct,Electronics,US,Mobile,5,890.32,623.44,0
ORD-000222,2026-03-27,Meta Ads,Electronics,Canada,Mobile,1,227.35,171.78,1
ORD-000223,2026-03-27,Meta Ads,Electronics,Australia,Mobile,2,452.54,318.79,0
ORD-000224,2026-03-27,Email,Apparel,US,Tablet,2,101.57,45.83,0
ORD-000225,2026-03-27,Organic Search,Beauty,US,Mobile,5,179.87,70.56,0
ORD-000226,2026-03-27,Email,Accessories,Turkey,Mobile,1,22.65,9.19,0
ORD-000227,2026-03-27,Meta Ads,Home & Living,US,Desktop,1,90.65,47.24,0
ORD-000228,2026-03-27,Google Ads,Home & Living,UK,Mobile,3,189.26,102.54,1
ORD-000229,2026-03-27,Email,Accessories,UK,Mobile,1,33.0,14.32,0
ORD-000230,2026-03-28,Direct,Apparel,UK,Tablet,2,116.18,52.6,0
ORD-000231,2026-03-28,Google Ads,Accessories,Germany,Desktop,1,47.67,20.67,1
ORD-000232,2026-03-28,Organic Search,Apparel,US,Mobile,1,59.47,26.31,1
ORD-000233,2026-03-28,Direct,Home & Living,US,Mobile,2,220.31,121.79,0
ORD-000234,2026-03-28,Meta Ads,Electronics,US,Mobile,1,297.26,202.5,0
ORD-000235,2026-03-28,Meta Ads,Electronics,UK,Mobile,1,330.48,224.8,1
ORD-000236,2026-03-28,Direct,Apparel,UK,Tablet,1,56.6,25.52,1
ORD-000237,2026-03-28,Direct,Beauty,US,Desktop,1,42.2,15.43,0
ORD-000238,2026-03-28,Direct,Accessories,Australia,Mobile,1,27.76,11.55,0
ORD-000239,2026-03-28,Email,Apparel,Turkey,Desktop,2,86.53,42.76,0
ORD-000240,2026-03-28,Meta Ads,Apparel,US,Mobile,1,34.43,15.28,0
ORD-000241,2026-03-28,Meta Ads,Accessories,Turkey,Desktop,1,40.5,17.61,1
ORD-000242,2026-03-28,Organic Search,Home & Living,US,Mobile,2,167.59,91.6,1
ORD-000243,2026-03-28,Organic Search,Apparel,Turkey,Desktop,1,50.61,21.26,0
ORD-000244,2026-03-28,Organic Search,Apparel,Turkey,Tablet,2,115.99,48.98,1
ORD-000245,2026-03-28,Organic Search,Home & Living,US,Mobile,1,127.07,72.8,1
ORD-000246,2026-03-28,Meta Ads,Beauty,Canada,Desktop,1,31.77,11.44,1
ORD-000247,2026-03-28,Email,Home & Living,Turkey,Tablet,1,91.67,53.51,1
ORD-000248,2026-03-28,Meta Ads,Accessories,Turkey,Mobile,1,25.67,9.89,1
ORD-000249,2026-03-28,Meta Ads,Home & Living,Turkey,Mobile,1,96.14,51.2,0
ORD-000250,2026-03-28,Google Ads,Electronics,Germany,Desktop,3,519.78,373.24,0
ORD-000251,2026-03-28,Google Ads,Home & Living,US,Mobile,1,69.36,34.56,1
ORD-000252,2026-03-28,Direct,Electronics,Australia,Mobile,2,513.95,364.53,1
ORD-000253,2026-03-28,Meta Ads,Apparel,Germany,Mobile,2,130.86,59.01,0
ORD-000254,2026-03-28,Google Ads,Apparel,Germany,Desktop,1,53.09,24.44,1
ORD-000255,2026-03-28,Email,Electronics,UK,Mobile,2,336.23,238.0,1
ORD-000256,2026-03-28,Organic Search,Beauty,Germany,Mobile,1,34.27,14.34,1
ORD-000257,2026-03-28,Google Ads,Apparel,US,Desktop,1,55.53,28.58,1
ORD-000258,2026-03-28,Meta Ads,Electronics,Canada,Mobile,1,258.25,177.78,1
ORD-000259,2026-03-28,Google Ads,Home & Living,US,Desktop,3,277.81,144.27,0
ORD-000260,2026-03-28,Organic Search,Home & Living,Canada,Mobile,4,353.88,199.6,1
ORD-000261,2026-03-28,Meta Ads,Beauty,Australia,Tablet,1,41.34,15.47,0
ORD-000262,2026-03-28,Google Ads,Beauty,UK,Desktop,2,77.83,27.66,0
ORD-000263,2026-03-28,Google Ads,Beauty,UK,Mobile,3,131.29,46.46,0
ORD-000264,2026-03-28,Organic Search,Apparel,US,Desktop,1,39.72,16.03,0
ORD-000265,2026-03-29,Google Ads,Beauty,US,Desktop,2,62.6,26.2,0
ORD-000266,2026-03-29,Email,Apparel,US,Mobile,4,186.31,89.67,0
ORD-000267,2026-03-29,Email,Accessories,Germany,Desktop,3,94.45,42.23,0
ORD-000268,2026-03-29,Organic Search,Beauty,Canada,Mobile,1,47.41,19.16,0
ORD-000269,2026-03-29,Direct,Accessories,UK,Tablet,1,37.92,15.37,1
ORD-000270,2026-03-29,Google Ads,Beauty,US,Desktop,2,57.17,23.0,1
ORD-000271,2026-03-29,Meta Ads,Apparel,US,Desktop,5,339.2,163.19,0
ORD-000272,2026-03-29,Meta Ads,Home & Living,Turkey,Mobile,1,101.63,63.16,1
ORD-000273,2026-03-29,Google Ads,Apparel,UK,Mobile,1,44.46,19.56,1
ORD-000274,2026-03-29,Meta Ads,Beauty,Turkey,Mobile,2,92.38,33.58,0
ORD-000275,2026-03-29,Meta Ads,Home & Living,UK,Mobile,1,78.14,42.65,1
ORD-000276,2026-03-29,Meta Ads,Apparel,Turkey,Mobile,3,179.81,76.66,1
ORD-000277,2026-03-29,Meta Ads,Accessories,US,Mobile,2,61.58,29.27,0
ORD-000278,2026-03-29,Direct,Apparel,US,Mobile,2,118.56,57.23,0
ORD-000279,2026-03-29,Meta Ads,Home & Living,Turkey,Mobile,3,317.96,173.67,0
ORD-000280,2026-03-29,Direct,Beauty,Turkey,Mobile,2,60.38,19.53,0
ORD-000281,2026-03-29,Meta Ads,Apparel,US,Mobile,2,76.96,31.78,1
ORD-000282,2026-03-29,Meta Ads,Home & Living,US,Mobile,3,329.41,178.44,1
ORD-000283,2026-03-29,Organic Search,Beauty,UK,Desktop,3,121.7,43.7,1
ORD-000284,2026-03-29,Meta Ads,Apparel,UK,Mobile,3,196.51,97.75,1
ORD-000285,2026-03-29,Google Ads,Home & Living,US,Mobile,1,110.53,56.8,1
ORD-000286,2026-03-29,Organic Search,Apparel,Turkey,Mobile,2,135.66,57.27,0
ORD-000287,2026-03-29,Google Ads,Beauty,US,Desktop,1,33.2,13.12,1
ORD-000288,2026-03-29,Meta Ads,Apparel,Canada,Mobile,3,151.06,72.01,1
ORD-000289,2026-03-29,Organic Search,Accessories,US,Desktop,2,59.18,24.2,0
ORD-000290,2026-03-29,Meta Ads,Accessories,US,Tablet,1,45.34,19.02,0
ORD-000291,2026-03-30,Direct,Home & Living,UK,Mobile,3,312.91,147.66,1
ORD-000292,2026-03-30,Organic Search,Beauty,US,Mobile,2,69.98,24.98,0
ORD-000293,2026-03-30,Email,Electronics,Turkey,Mobile,2,435.93,310.42,0
ORD-000294,2026-03-30,Meta Ads,Apparel,US,Mobile,1,47.39,21.91,0
ORD-000295,2026-03-30,Meta Ads,Home & Living,US,Desktop,1,107.67,61.17,1
ORD-000296,2026-03-30,Meta Ads,Accessories,Canada,Desktop,1,22.66,10.37,0
ORD-000297,2026-03-30,Organic Search,Apparel,US,Desktop,1,53.49,25.98,0
ORD-000298,2026-03-30,Meta Ads,Apparel,Turkey,Desktop,1,47.85,22.16,0
ORD-000299,2026-03-30,Meta Ads,Apparel,Canada,Desktop,4,247.84,111.41,0
ORD-000300,2026-03-30,Meta Ads,Home & Living,US,Desktop,2,166.5,89.94,0
ORD-000301,2026-03-30,Google Ads,Home & Living,Canada,Desktop,1,76.43,41.95,0
ORD-000302,2026-03-30,Meta Ads,Beauty,Germany,Mobile,1,39.48,14.1,1
ORD-000303,2026-03-30,Google Ads,Beauty,Canada,Desktop,1,52.7,21.42,0
ORD-000304,2026-03-30,Direct,Accessories,Australia,Mobile,3,95.38,40.35,0
ORD-000305,2026-03-30,Organic Search,Beauty,Canada,Mobile,1,38.74,13.74,1
ORD-000306,2026-03-30,Google Ads,Apparel,Germany,Mobile,3,164.93,70.18,1
ORD-000307,2026-03-30,Email,Home & Living,US,Desktop,3,309.91,177.53,0
ORD-000308,2026-03-30,Direct,Apparel,Canada,Desktop,1,81.88,37.15,0
ORD-000309,2026-03-30,Google Ads,Electronics,Turkey,Mobile,2,434.91,288.36,1
ORD-000310,2026-03-30,Google Ads,Accessories,Germany,Desktop,4,133.87,52.17,1
